experiment,model_name,test_source,class_id,class_name,mAP50_95,source_file,model_display_name
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,HRIPCB,5,spurious_copper,0.551391177617845,rtdetr_l_final_clean_6cls_e50_sourcewise_per_class_map.csv,RT-DETR-L
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,Merged,0,missing_hole,0.8194617629051208,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,Merged,1,mouse_bite,0.5187957286834717,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,Merged,2,open_circuit,0.5795313715934753,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,Merged,3,short,0.5259318947792053,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,Merged,4,spur,0.4375084936618805,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,Merged,5,spurious_copper,0.6696926951408386,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DeepPCB,0,missing_hole,0.9252676367759703,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DeepPCB,1,mouse_bite,0.751804769039154,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DeepPCB,2,open_circuit,0.6881680488586426,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
